Material,Voltage_V,Area_cm2,Experiment,Block_Config,Range,Messwert_Avg,Messwert_Delta,Mass_g_Avg,Mass_g_Delta,Fn_avg,Fn_delta,mu_avg,mu_delta
Schwarz,5V,39.0,Weight_Var,B,2.3-2.45,2.375,0.07500000000000018,678.0,0.1,6.651180000000001,0.000981,0.3570794956684377,0.011276317591672986
Schwarz,5V,39.0,Weight_Var,B,2.3-2.45,2.375,0.07500000000000018,678.0,0.1,6.651180000000001,0.000981,0.3570794956684377,0.011276317591672986
Schwarz,5V,39.0,Weight_Var,B,2.3-2.45,2.375,0.07500000000000018,678.0,0.1,6.651180000000001,0.000981,0.3570794956684377,0.011276317591672986
Stahl,5V,20.0,Small_Area,B,1.4-1.5,1.45,0.050000000000000044,616.0,0.1,6.04296,0.000981,0.2399486344440473,0.008274182532999854
Stahl,5V,20.0,Small_Area,B,1.4-1.5,1.45,0.050000000000000044,616.0,0.1,6.04296,0.000981,0.2399486344440473,0.008274182532999854
Stahl,5V,20.0,Small_Area,B,1.4-1.5,1.45,0.050000000000000044,616.0,0.1,6.04296,0.000981,0.2399486344440473,0.008274182532999854
Weiss,5V,20.0,Small_Area,B,0.95-1.0,0.975,0.025000000000000022,678.0,0.1,6.651180000000001,0.000981,0.14659052980072707,0.003758793717193182
Weiss,5V,20.0,Small_Area,B,0.95-1.05,1.0,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.15034926133407905,0.007517495773723186
Weiss,5V,20.0,Small_Area,B,0.95-1.05,1.0,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.15034926133407905,0.007517495773723186
Schwarz,5V,20.4,Small_Area,B,1.85-1.95,1.9,0.04999999999999993,678.0,0.1,6.651180000000001,0.000981,0.28566359653475015,0.0075175811383729725
Schwarz,5V,20.4,Small_Area,B,1.85-1.95,1.9,0.04999999999999993,678.0,0.1,6.651180000000001,0.000981,0.28566359653475015,0.0075175811383729725
Schwarz,5V,20.4,Small_Area,B,1.9-2.0,1.95,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.29318105960145413,0.007517587434386364
Stahl,7V,39.0,Voltage_Var,B,1.5-1.9,1.7,0.19999999999999996,616.0,0.1,6.04296,0.000981,0.2813190886585382,0.033096394880003654
Stahl,7V,39.0,Voltage_Var,B,1.5-1.9,1.7,0.19999999999999996,616.0,0.1,6.04296,0.000981,0.2813190886585382,0.033096394880003654
Stahl,7V,39.0,Voltage_Var,B,1.5-1.9,1.7,0.19999999999999996,616.0,0.1,6.04296,0.000981,0.2813190886585382,0.033096394880003654
Stahl,9V,39.0,Voltage_Var,B,1.5-1.95,1.725,0.22499999999999998,616.0,0.1,6.04296,0.000981,0.2854561340799873,0.03723343763032704
Stahl,9V,39.0,Voltage_Var,B,1.5-2.0,1.75,0.25,616.0,0.1,6.04296,0.000981,0.28959317950143637,0.04137048092577762
Stahl,9V,39.0,Voltage_Var,B,1.6-2.0,1.8,0.19999999999999996,616.0,0.1,6.04296,0.000981,0.2978672703443346,0.033096398695899136
Stahl,11V,39.0,Voltage_Var,B,1.45-2.5,1.975,0.525,616.0,0.1,6.04296,0.000981,0.32682658829447825,0.08687797005112854
Stahl,11V,39.0,Voltage_Var,B,1.35-2.25,1.8,0.44999999999999996,616.0,0.1,6.04296,0.000981,0.2978672703443346,0.07446683328578209
Stahl,11V,39.0,Voltage_Var,B,1.35-2.15,1.75,0.3999999999999999,616.0,0.1,6.04296,0.000981,0.28959317950143637,0.06619274343774292
Weiss,7V,40.0,Voltage_Var,B,1.25-1.35,1.3,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.19545403973430275,0.007517518341483485
Weiss,7V,40.0,Voltage_Var,B,1.25-1.35,1.3,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.19545403973430275,0.007517518341483485
Weiss,7V,40.0,Voltage_Var,B,1.25-1.35,1.3,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.19545403973430275,0.007517518341483485
Weiss,9V,40.0,Voltage_Var,B,1.35-1.45,1.4,0.04999999999999993,678.0,0.1,6.651180000000001,0.000981,0.21048896586771065,0.007517527172327752
Weiss,9V,40.0,Voltage_Var,B,1.35-1.5,1.425,0.07499999999999996,678.0,0.1,6.651180000000001,0.000981,0.21424769740106264,0.011276238877192594
Weiss,9V,40.0,Voltage_Var,B,1.35-1.45,1.4,0.04999999999999993,678.0,0.1,6.651180000000001,0.000981,0.21048896586771065,0.007517527172327752
