Versuch,Material,Block_Config,Messung_Type,Messwert_Avg,Messwert_Delta,Kontaktflaeche_cm2,Voltage_V,Oberflaeche_Art
Grosse_Flaeche_Spannung,Weiss,,M2,1.425,0.07499999999999996,10x4,9V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Weiss,,M3,1.4,0.04999999999999993,10x4,9V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Weiss,,M1,1.45,0.050000000000000044,10x4,11V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Weiss,,M2,1.475,0.07500000000000007,10x4,11V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Weiss,,M3,1.475,0.07500000000000007,10x4,11V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Schwarz,,M1,2.425,0.07499999999999996,3.9x10,7V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Schwarz,,M2,2.45,0.09999999999999987,3.9x10,7V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Schwarz,,M3,2.5,0.10000000000000009,3.9x10,7V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Schwarz,,M1,2.4749999999999996,0.07499999999999996,3.9x10,9V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Schwarz,,M2,2.4749999999999996,0.07499999999999996,3.9x10,9V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Schwarz,,M3,2.5250000000000004,0.07499999999999996,3.9x10,9V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Schwarz,,M1,2.45,0.050000000000000044,3.9x10,11V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Schwarz,,M2,2.5,0.04999999999999982,3.9x10,11V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Schwarz,,M3,2.55,0.050000000000000044,3.9x10,11V,Grosse_Flaeche_Voltage
